nm,W/nm
771.0000,1.91543e-001
772.0000,1.25704e-001
773.0000,9.80891e-002
774.0000,8.67769e-002
775.0000,8.29724e-002
776.0000,8.19411e-002
777.0000,8.22630e-002
778.0000,8.24070e-002
779.0000,8.21839e-002
780.0000,8.12517e-002
781.0000,8.02873e-002
782.0000,7.99312e-002
783.0000,8.03648e-002
784.0000,8.10707e-002
785.0000,8.25929e-002
786.0000,8.40421e-002
787.0000,8.62118e-002
788.0000,8.85028e-002
789.0000,9.02825e-002
790.0000,9.28900e-002
791.0000,9.53820e-002
792.0000,9.86137e-002
793.0000,1.01536e-001
794.0000,1.05366e-001
795.0000,1.08596e-001
796.0000,1.12725e-001
797.0000,1.17865e-001
798.0000,1.23422e-001
799.0000,1.29657e-001
800.0000,1.36794e-001
801.0000,1.45150e-001
802.0000,1.52399e-001
803.0000,1.60440e-001
804.0000,1.67830e-001
805.0000,1.75679e-001
806.0000,1.82488e-001
807.0000,1.92821e-001
808.0000,2.09247e-001
809.0000,2.41034e-001
810.0000,3.10045e-001
811.0000,4.63900e-001
812.0000,7.58124e-001
813.0000,1.26435e+000
814.0000,2.16246e+000
815.0000,3.53255e+000
816.0000,4.95303e+000
817.0000,5.85118e+000
818.0000,5.73655e+000
819.0000,4.77081e+000
820.0000,3.50389e+000
821.0000,2.37641e+000
822.0000,1.57370e+000
823.0000,1.03882e+000
824.0000,6.93985e-001
825.0000,4.84263e-001
826.0000,3.55815e-001
827.0000,2.76413e-001
828.0000,2.24882e-001
829.0000,1.89753e-001
830.0000,1.64461e-001
831.0000,1.45410e-001
832.0000,1.30961e-001
833.0000,1.18854e-001
834.0000,1.09404e-001
835.0000,1.01501e-001
836.0000,9.49989e-002
837.0000,8.89252e-002
838.0000,8.35888e-002
839.0000,7.88736e-002
840.0000,7.52633e-002
841.0000,7.18149e-002
842.0000,6.86607e-002
843.0000,6.58567e-002
844.0000,6.36543e-002
845.0000,6.19190e-002
846.0000,6.02282e-002
847.0000,5.85523e-002
848.0000,5.74632e-002
849.0000,5.57650e-002
850.0000,5.53105e-002
851.0000,5.43412e-002
852.0000,5.28136e-002
853.0000,5.17344e-002
854.0000,5.12687e-002
855.0000,5.02231e-002
856.0000,4.98264e-002
857.0000,4.92280e-002
858.0000,4.95923e-002
859.0000,4.97999e-002
860.0000,5.10268e-002
861.0000,5.28549e-002
862.0000,5.41273e-002
863.0000,5.42971e-002
864.0000,5.23325e-002
865.0000,4.98184e-002
866.0000,4.72581e-002
867.0000,4.52745e-002
868.0000,4.43662e-002
869.0000,4.32466e-002
870.0000,4.23360e-002
871.0000,4.18176e-002
872.0000,4.17070e-002
873.0000,4.13589e-002
874.0000,4.10983e-002
875.0000,4.09661e-002
876.0000,4.07526e-002
877.0000,4.08204e-002
878.0000,4.06826e-002
879.0000,4.08129e-002
880.0000,4.07550e-002
881.0000,4.04970e-002
882.0000,3.99033e-002
883.0000,3.97845e-002
884.0000,3.94641e-002
885.0000,3.85978e-002
886.0000,3.86631e-002
887.0000,3.76391e-002
888.0000,3.77220e-002
889.0000,3.68662e-002
890.0000,3.67952e-002
891.0000,3.62451e-002
892.0000,3.58400e-002
893.0000,3.54908e-002
894.0000,3.50509e-002
895.0000,3.44875e-002
896.0000,3.39951e-002
897.0000,3.34990e-002
898.0000,3.27873e-002
899.0000,3.28874e-002
900.0000,3.24560e-002
901.0000,3.16617e-002
902.0000,3.17851e-002
903.0000,3.12123e-002
904.0000,3.10255e-002
905.0000,3.09155e-002
906.0000,3.07731e-002
907.0000,3.02474e-002
908.0000,3.01989e-002
909.0000,3.00607e-002
910.0000,2.96232e-002
911.0000,2.97888e-002
912.0000,2.94668e-002
913.0000,2.94523e-002
914.0000,2.92723e-002
915.0000,2.91922e-002
916.0000,2.88530e-002
917.0000,2.84863e-002
918.0000,2.79485e-002
919.0000,2.76508e-002
920.0000,2.74986e-002
921.0000,2.76517e-002
922.0000,2.71361e-002
923.0000,2.71094e-002
924.0000,2.64104e-002
925.0000,2.62812e-002
926.0000,2.65372e-002
927.0000,2.64506e-002
928.0000,2.64799e-002
929.0000,2.64304e-002
930.0000,2.64163e-002
931.0000,2.61147e-002
932.0000,2.67445e-002
933.0000,2.72216e-002
934.0000,2.69731e-002
935.0000,2.71728e-002
936.0000,2.72415e-002
937.0000,2.77404e-002
938.0000,2.77438e-002
939.0000,2.83887e-002
940.0000,2.86717e-002
941.0000,2.91480e-002
942.0000,2.95520e-002
943.0000,3.01006e-002
944.0000,3.02751e-002
945.0000,3.04800e-002
946.0000,3.00509e-002
947.0000,3.01718e-002
948.0000,2.92925e-002
949.0000,2.91643e-002
950.0000,2.87215e-002
951.0000,2.81997e-002
952.0000,2.75942e-002
953.0000,2.75153e-002
954.0000,2.70801e-002
955.0000,2.61731e-002
956.0000,2.57896e-002
957.0000,2.53250e-002
958.0000,2.50398e-002
959.0000,2.44764e-002
960.0000,2.41022e-002
961.0000,2.31384e-002
962.0000,2.35906e-002
963.0000,2.29363e-002
964.0000,2.24770e-002
965.0000,2.25147e-002
