T,u,v
14976.61511179,0.18570943,0.28242281
15126.38126291,0.18563092,0.28221056
15277.64507554,0.18555368,0.28200069
15430.42152630,0.18547768,0.28179319
15584.72574156,0.18540290,0.28158802
15740.57299897,0.18532932,0.28138517
15897.97872896,0.18525692,0.28118462
16056.95851625,0.18518567,0.28098634
16217.52810142,0.18511556,0.28079031
16379.70338243,0.18504656,0.28059652
16543.50041625,0.18497866,0.28040493
16708.93542042,0.18491183,0.28021552
16876.02477462,0.18484605,0.28002828
17044.78502237,0.18478131,0.27984318
17215.23287259,0.18471759,0.27966020
17387.38520132,0.18465487,0.27947931
17561.25905333,0.18459313,0.27930051
17736.87164386,0.18453235,0.27912375
17914.24036030,0.18447251,0.27894904
18093.38276391,0.18441361,0.27877633
18274.31659154,0.18435562,0.27860562
18457.05975746,0.18429852,0.27843687
18641.63035503,0.18424231,0.27827007
18828.04665858,0.18418696,0.27810521
19016.32712517,0.18413246,0.27794224
19206.49039642,0.18407879,0.27778117
19398.55530039,0.18402594,0.27762196
19592.54085339,0.18397390,0.27746459
19788.46626192,0.18392265,0.27730905
19986.35092454,0.18387217,0.27715532
20186.21443379,0.18382246,0.27700337
20388.07657813,0.18377350,0.27685319
20591.95734391,0.18372527,0.27670475
20797.87691735,0.18367777,0.27655803
21005.85568652,0.18363098,0.27641303
21215.91424339,0.18358489,0.27626971
21428.07338582,0.18353949,0.27612805
21642.35411968,0.18349476,0.27598805
21858.77766087,0.18345069,0.27584968
22077.36543748,0.18340727,0.27571292
22298.13909186,0.18336450,0.27557775
22521.12048278,0.18332235,0.27544416
22746.33168760,0.18328083,0.27531212
22973.79500448,0.18323991,0.27518162
23203.53295453,0.18319959,0.27505264
23435.56828407,0.18315986,0.27492517
23669.92396691,0.18312070,0.27479918
23906.62320658,0.18308211,0.27467466
24145.68943865,0.18304408,0.27455159
24387.14633303,0.18300660,0.27442996
24631.01779636,0.18296966,0.27430974
24877.32797433,0.18293325,0.27419092
25126.10125407,0.18289736,0.27407349
25377.36226661,0.18286198,0.27395743
25631.13588928,0.18282711,0.27384271
25887.44724817,0.18279273,0.27372933
26146.32172065,0.18275884,0.27361728
26407.78493786,0.18272543,0.27350652
26671.86278724,0.18269249,0.27339706
26938.58141511,0.18266002,0.27328886
27207.96722926,0.18262800,0.27318193
27480.04690155,0.18259643,0.27307624
27754.84737057,0.18256530,0.27297177
28032.39584427,0.18253460,0.27286852
28312.71980272,0.18250433,0.27276647
28595.84700074,0.18247449,0.27266560
28881.80547075,0.18244505,0.27256591
29170.62352546,0.18241602,0.27246737
29462.32976071,0.18238740,0.27236997
29756.95305832,0.18235916,0.27227370
30054.52258890,0.18233131,0.27217854
30355.06781479,0.18230385,0.27208449
30658.61849294,0.18227676,0.27199152
30965.20467787,0.18225003,0.27189963
31274.85672465,0.18222367,0.27180881
31587.60529190,0.18219767,0.27171903
31903.48134481,0.18217202,0.27163028
32222.51615826,0.18214672,0.27154257
32544.74131984,0.18212175,0.27145586
32870.18873304,0.18209712,0.27137015
33198.89062037,0.18207282,0.27128543
33530.87952658,0.18204885,0.27120169
33866.18832184,0.18202520,0.27111891
34204.85020506,0.18200186,0.27103708
34546.89870711,0.18197883,0.27095619
34892.36769418,0.18195611,0.27087623
35241.29137113,0.18193368,0.27079719
35593.70428484,0.18191156,0.27071905
35949.64132768,0.18188972,0.27064182
36309.13774096,0.18186817,0.27056546
36672.22911837,0.18184690,0.27048998
37038.95140956,0.18182591,0.27041536
37409.34092365,0.18180520,0.27034160
37783.43433289,0.18178475,0.27026868
38161.26867622,0.18176458,0.27019659
38542.88136298,0.18174466,0.27012532
38928.31017661,0.18172500,0.27005487
39317.59327837,0.18170559,0.26998522
39710.76921116,0.18168644,0.26991636
40107.87690327,0.18166753,0.26984829
40508.95567230,0.18164886,0.26978099
40914.04522903,0.18163043,0.26971445
41323.18568132,0.18161224,0.26964867
41736.41753813,0.18159428,0.26958364
42153.78171351,0.18157655,0.26951934
42575.31953064,0.18155904,0.26945577
43001.07272595,0.18154176,0.26939292
43431.08345321,0.18152469,0.26933078
43865.39428774,0.18150784,0.26926934
44304.04823062,0.18149120,0.26920860
44747.08871293,0.18147477,0.26914855
45194.55960006,0.18145855,0.26908917
45646.50519606,0.18144253,0.26903046
46102.97024802,0.18142671,0.26897241
46563.99995050,0.18141109,0.26891501
47029.63995000,0.18139567,0.26885826
47499.93634950,0.18138043,0.26880215
47974.93571300,0.18136539,0.26874666
48454.68507013,0.18135053,0.26869180
48939.23192083,0.18133585,0.26863755
49428.62424004,0.18132136,0.26858392
49922.91048244,0.18130704,0.26853088
50422.13958726,0.18129290,0.26847843
50926.36098313,0.18127894,0.26842657
51435.62459297,0.18126514,0.26837529
51949.98083890,0.18125152,0.26832458
52469.48064728,0.18123806,0.26827444
52994.17545376,0.18122476,0.26822486
53524.11720829,0.18121163,0.26817583
54059.35838038,0.18119865,0.26812734
54599.95196418,0.18118584,0.26807939
55145.95148382,0.18117317,0.26803198
55697.41099866,0.18116066,0.26798509
56254.38510865,0.18114831,0.26793872
56816.92895973,0.18113610,0.26789286
57385.09824933,0.18112404,0.26784752
57958.94923182,0.18111212,0.26780267
58538.53872414,0.18110034,0.26775832
59123.92411138,0.18108871,0.26771446
59715.16335250,0.18107722,0.26767108
60312.31498602,0.18106586,0.26762819
60915.43813588,0.18105464,0.26758576
61524.59251724,0.18104355,0.26754381
62139.83844241,0.18103259,0.26750231
62761.23682684,0.18102176,0.26746127
63388.84919511,0.18101106,0.26742068
64022.73768706,0.18100049,0.26738054
64662.96506393,0.18099004,0.26734084
65309.59471457,0.18097972,0.26730157
65962.69066171,0.18096951,0.26726274
66622.31756833,0.18095943,0.26722433
67288.54074401,0.18094947,0.26718634
67961.42615145,0.18093962,0.26714876
68641.04041297,0.18092988,0.26711160
69327.45081710,0.18092026,0.26707484
70020.72532527,0.18091076,0.26703848
70720.93257852,0.18090136,0.26700252
71428.14190431,0.18089207,0.26696695
72142.42332335,0.18088289,0.26693177
72863.84755658,0.18087382,0.26689697
73592.48603215,0.18086485,0.26686255
74328.41089247,0.18085598,0.26682850
75071.69500140,0.18084722,0.26679482
75822.41195141,0.18083856,0.26676151
76580.63607092,0.18083000,0.26672856
77346.44243163,0.18082154,0.26669596
78119.90685595,0.18081317,0.26666372
78901.10592451,0.18080490,0.26663183
79690.11698375,0.18079672,0.26660028
80487.01815359,0.18078864,0.26656908
81291.88833513,0.18078065,0.26653821
82104.80721848,0.18077275,0.26650767
82925.85529066,0.18076495,0.26647746
83755.11384357,0.18075723,0.26644758
84592.66498201,0.18074959,0.26641802
85438.59163183,0.18074205,0.26638878
86292.97754815,0.18073459,0.26635985
87155.90732363,0.18072721,0.26633123
88027.46639686,0.18071992,0.26630292
88907.74106083,0.18071271,0.26627492
89796.81847144,0.18070559,0.26624721
90694.78665615,0.18069854,0.26621980
91601.73452272,0.18069157,0.26619269
92517.75186794,0.18068468,0.26616587
93442.92938662,0.18067787,0.26613933
94377.35868049,0.18067113,0.26611308
95321.13226729,0.18066447,0.26608710
96274.34358997,0.18065789,0.26606141
97237.08702587,0.18065137,0.26603599
98209.45789612,0.18064493,0.26601084
99191.55247509,0.18063857,0.26598595
100183.46799984,0.18063227,0.26596134
101185.30267984,0.18062604,0.26593698
102197.15570663,0.18061988,0.26591289
103219.12726370,0.18061380,0.26588905
104251.31853634,0.18060777,0.26586546
105293.83172170,0.18060182,0.26584212
106346.77003892,0.18059593,0.26581904
107410.23773931,0.18059011,0.26579619
108484.34011670,0.18058435,0.26577359
109569.18351787,0.18057865,0.26575123
110664.87535305,0.18057302,0.26572911
111771.52410658,0.18056745,0.26570722
112889.23934764,0.18056194,0.26568556
114018.13174112,0.18055649,0.26566413
115158.31305853,0.18055110,0.26564293
116309.89618911,0.18054577,0.26562195
117472.99515101,0.18054050,0.26560119
118647.72510252,0.18053529,0.26558065
119834.20235354,0.18053013,0.26556033
121032.54437708,0.18052503,0.26554022
122242.86982085,0.18051999,0.26552032
123465.29851906,0.18051500,0.26550064
124699.95150425,0.18051006,0.26548116
125946.95101929,0.18050518,0.26546188
127206.42052948,0.18050035,0.26544281
128478.48473478,0.18049558,0.26542394
129763.26958212,0.18049085,0.26540527
131060.90227794,0.18048618,0.26538679
132371.51130072,0.18048156,0.26536851
133695.22641373,0.18047699,0.26535041
135032.17867787,0.18047247,0.26533251
136382.50046465,0.18046799,0.26531480
137746.32546929,0.18046357,0.26529727
139123.78872399,0.18045919,0.26527992
140515.02661123,0.18045486,0.26526276
141920.17687734,0.18045058,0.26524577
143339.37864611,0.18044634,0.26522897
144772.77243257,0.18044215,0.26521233
146220.50015690,0.18043800,0.26519588
147682.70515847,0.18043390,0.26517959
